ticker,flag_date,signal_value,max_drawdown_30d,outcome
SPY,2008-11-21,0.77,0.0326,false_alarm
SPY,2008-11-24,0.8003,-0.0343,false_alarm
SPY,2008-11-25,0.6884,-0.0414,false_alarm
SPY,2008-11-26,0.7045,-0.0771,hit
SPY,2008-11-28,0.6939,-0.0886,hit
SPY,2008-12-01,0.7616,0.0359,false_alarm
SPY,2008-12-02,0.7783,-0.0025,false_alarm
SPY,2008-12-03,0.7724,-0.0259,false_alarm
SPY,2008-12-04,0.7634,-0.0478,false_alarm
SPY,2008-12-05,0.7489,-0.0763,hit
SPY,2008-12-08,0.75,-0.1074,hit
SPY,2008-12-09,0.7508,-0.0925,hit
SPY,2008-12-10,0.743,-0.0986,hit
SPY,2008-12-11,0.7299,-0.0764,hit
SPY,2008-12-12,0.6972,-0.0873,hit
SPY,2008-12-15,0.6739,-0.0744,hit
SPY,2008-12-16,0.6903,-0.116,hit
SPY,2008-12-17,0.6895,-0.1073,hit
SPY,2008-12-18,0.6463,-0.0903,hit
SPY,2008-12-19,0.5715,-0.0864,hit
SPY,2008-12-22,0.5511,-0.0745,hit
SPY,2008-12-23,0.5017,-0.0649,hit
SPY,2008-12-24,0.5015,-0.0703,hit
SPY,2008-12-26,0.4827,-0.0756,hit
SPY,2008-12-29,0.4802,-0.0729,hit
SPY,2008-12-30,0.3452,-0.0944,hit
SPY,2009-01-02,0.3301,-0.1478,hit
SPY,2009-01-21,0.3592,-0.1814,hit
SPY,2009-01-22,0.3603,-0.1686,hit
SPY,2009-01-23,0.3599,-0.1805,hit
SPY,2009-01-26,0.3602,-0.1861,hit
SPY,2009-01-27,0.3617,-0.1943,hit
SPY,2009-01-28,0.3821,-0.2206,hit
SPY,2009-01-29,0.3893,-0.1944,hit
SPY,2009-01-30,0.389,-0.1777,hit
SPY,2009-02-02,0.3678,-0.1752,hit
SPY,2009-02-03,0.3743,-0.1866,hit
SPY,2009-02-04,0.3717,-0.1826,hit
SPY,2009-02-05,0.3665,-0.1946,hit
SPY,2009-02-06,0.3826,-0.2169,hit
SPY,2009-02-09,0.3758,-0.218,hit
SPY,2009-02-10,0.4019,-0.1805,hit
SPY,2009-02-11,0.4027,-0.1853,hit
SPY,2009-02-12,0.387,-0.1859,hit
SPY,2009-02-13,0.3887,-0.177,hit
SPY,2009-02-17,0.4154,-0.1402,hit
SPY,2009-03-10,0.4344,0.0065,false_alarm
SPY,2009-03-12,0.4427,0.0048,false_alarm
SPY,2009-03-13,0.4447,-0.003,false_alarm
SPY,2009-03-16,0.4441,0.0184,false_alarm
SPY,2009-03-23,0.4897,-0.0417,false_alarm
SPY,2009-03-24,0.4821,-0.0225,false_alarm
SPY,2009-03-25,0.4813,-0.0327,false_alarm
SPY,2009-03-26,0.479,-0.052,hit
SPY,2009-03-27,0.4759,-0.0346,false_alarm
SPY,2010-05-10,0.2717,-0.0919,hit
SPY,2010-05-11,0.2716,-0.0893,hit
SPY,2010-05-12,0.2734,-0.1018,hit
SPY,2010-05-13,0.276,-0.0905,hit
SPY,2010-05-14,0.2776,-0.0738,hit
SPY,2010-05-17,0.2769,-0.0811,hit
SPY,2010-05-18,0.2761,-0.0773,hit
SPY,2010-05-19,0.2761,-0.0762,hit
SPY,2010-05-20,0.3007,-0.0451,false_alarm
SPY,2010-05-21,0.3064,-0.0589,hit
SPY,2010-05-24,0.3074,-0.0466,false_alarm
SPY,2010-05-25,0.3007,-0.0476,false_alarm
SPY,2010-05-26,0.2972,-0.0418,false_alarm
SPY,2010-05-27,0.3216,-0.0729,hit
SPY,2010-05-28,0.3196,-0.0611,hit
SPY,2010-06-01,0.3161,-0.045,false_alarm
SPY,2010-06-02,0.327,-0.0693,hit
SPY,2010-06-03,0.3276,-0.0725,hit
SPY,2010-06-04,0.3302,-0.0387,false_alarm
SPY,2010-06-07,0.3291,-0.0266,false_alarm
SPY,2010-06-08,0.2867,-0.0369,false_alarm
SPY,2010-06-09,0.2866,-0.0317,false_alarm
SPY,2010-06-10,0.3037,-0.0592,hit
SPY,2010-06-11,0.3032,-0.0638,hit
SPY,2010-06-14,0.2976,-0.0623,hit
SPY,2010-06-15,0.31,-0.0832,hit
SPY,2010-06-16,0.3063,-0.0828,hit
SPY,2010-06-17,0.3057,-0.0843,hit
SPY,2010-06-18,0.2694,-0.0853,hit
SPY,2010-06-21,0.2659,-0.0827,hit
SPY,2010-06-22,0.2688,-0.0673,hit
SPY,2010-06-23,0.2692,-0.0644,hit
SPY,2010-06-24,0.2755,-0.0486,false_alarm
SPY,2010-06-29,0.2618,-0.0193,false_alarm
SPY,2011-08-04,0.2263,-0.0665,hit
SPY,2011-08-05,0.2268,-0.0651,hit
SPY,2011-08-08,0.3134,0.0003,false_alarm
SPY,2011-08-09,0.3666,-0.0442,false_alarm
